,,
3.2,55.8,55.8 / 3.2
3.15,57.2,57.2 / 3.15
3.1,62.4,62.4 / 3.1
2.75,63.35,63.35 / 2.75
3,64.95,64.95 / 3
2.55,68.4,68.4 / 2.55
2.95,71.4,71.4 / 2.95
3.5,73.6,73.6 / 3.5
3.2,75.65,75.65 / 3.2
3.3,76.6,76.6 / 3.3
3.1,84.3,84.3 / 3.1
2.4,85.35,85.35 / 2.4
2.5,89.6,89.6 / 2.5
3.1,94.5,94.5 / 3.1
3.3,97.6,97.6 / 3.3
8.05,279.35,279.35 / 8.05
7.75,294.8,294.8 / 7.75
7.7,300.2,300.2 / 7.7
8.1,305,305 / 8.1
7.2,335,335 / 7.2
7.95,355.4,355.4 / 7.95
7.15,361,361 / 7.15
7.4,374.45,374.45 / 7.4
6.75,379.4,379.4 / 6.75
7.65,382.35,382.35 / 7.65
7.7,387.65,387.65 / 7.7
7.6,396.7,396.7 / 7.6
8.2,398.7,398.7 / 8.2
7.6,445.75,445.75 / 7.6
6.65,457.1,457.1 / 6.65
12.1,549,549 / 12.1
12.25,584.85,584.85 / 12.25
12.4,601.95,601.95 / 12.4
12.5,640.05,640.05 / 12.5
12.95,677.35,677.35 / 12.95
12.2,704.15,704.15 / 12.2
12.4,711.4,711.4 / 12.4
12.5,739.35,739.35 / 12.5
12,769.2,769.2 / 12
12.4,781.45,781.45 / 12.4
13.3,798.15,798.15 / 13.3
11.95,832.2,832.2 / 11.95
12.65,839.65,839.65 / 12.65
12.1,859.9,859.9 / 12.1
12.85,863.3,863.3 / 12.85
