User Requirement,Constraint List
"[['f9', 'f10']]","[[2, 'v17', 'v5'], [2, 'v17', 'v13'], [2, 'v17', 'v14'], [2, 'v17', 'v21'], [1, 'v57'], [1, 'v58'], [1, 'v27'], [1, 'v59'], [1, 'v56'], [2, 'v1', 'v2'], [1, 'v60']]"
"[['f5', 'fo41']]","[[1, 'v17'], [2, 'v7', 'v21'], [2, 'v21', 'v15'], [2, 'v16', 'v21'], [1, 'v54'], [1, 'v57'], [1, 'v58'], [1, 'v25'], [1, 'co2'], [1, 'v59'], [1, 'v56'], [2, 'v1', 'v2'], [1, 'v60']]"
"[['fo41', 'f22']]","[[1, 'v17'], [2, 'v7', 'v21'], [2, 'v21', 'v15'], [2, 'v16', 'v21'], [1, 'v54'], [1, 'v58'], [1, 'v27'], [1, 'v59'], [1, 'v56'], [2, 'v1', 'v2'], [1, 'v60']]"
"[['f9', 'f10']]","[[2, 'v17', 'v5'], [2, 'v17', 'v13'], [2, 'v17', 'v14'], [2, 'v17', 'v21'], [1, 'v57'], [1, 'v58'], [1, 'co2'], [1, 'v34'], [1, 'v33'], [1,  'v44'], [1,'v42'], [2, 'v24', 'co2'], [1, 'co3'], [1, 'co4'], [2, 'co4', 'v34']]"
"[['f1', 'f21']]","[[2, 'v17', 'v5'], [2, 'v17', 'v13'], [2, 'v17', 'v14'], [2, 'v17', 'v21'], [1, 'v54'], [2, 'v57', 'v55'], [2, 'v56', 'v55'], [2, 'v17', 'v24'], [2, 'v17', 'v23'], [2, 'v6', 'v11'], [2, 'v17', 'v22'], [1, 'v56'], [2, 'v58', 'v55'], [2, 'v57', 'v55']]"
"[['f10', 'f9']]","[[2, 'v17', 'v5'], [2, 'v17', 'v13'], [2, 'v17', 'v14'], [2, 'v17', 'v21'], [2, 'v57', 'v55'], [2, 'v58', 'v56'], [2, 'v56', 'v55'], [2, 'v58', 'v57'], [1, 'v27'], [1, 'co2'], [1, 'v34'], [1, 'v33'], [1,  'v44'], [1,'v42'], [2, 'v24', 'co2'], [1, 'co3'], [1, 'co4']]"
"[['f1', 'f10']]","[[2, 'v17', 'v5'], [2, 'v17', 'v13'], [2, 'v17', 'v14'], [2, 'v17', 'v21'], [1, 'v54'], [1, 'v56'], [1, 'v57'], [1, 'v58'], [1, 'v59'], [2, 'v55', 'v56'],  [2, 'v1', 'v62'], [1, 'v60']]"
"[['f1', 'f14']]","[[2, 'v17', 'v5'], [2, 'v17', 'v13'], [2, 'v17', 'v14'], [2, 'v17', 'v21'], [1, 'v54'],  [1, 'v56'], [1, 'v57'], [1, 'v58'], [1, 'v59'], [2, 'v55', 'v56'],  [2, 'v1', 'v62'], [1, 'v60']]"
"[[['f1', 'f5'], 'f21']]","[[2, 'v17', 'v5'], [2, 'v17', 'v13'], [2, 'v17', 'v14'], [2, 'v17', 'v27'], [1, 'v54'], [1, 'v56'], [1, 'v57'], [1, 'v58'], [1, 'v59'], [2, 'v55', 'v56'],  [2, 'v1', 'v62'], [1, 'v60']]"
"[['f21', 'f22']]","[[2, 'v17', 'v5'], [2, 'v17', 'v13'], [2, 'v17', 'v14'], [2, 'v17', 'v21'], [1, 'v54'], [1, 'v56'], [1, 'v58'], [1, 'v17'], [1, 'v59'], [1, 'v56'], [2, 'v1', 'v2'], [1, 'v60']]"
